,B,T,dB/dt_1,dT/dt_1,dB/dt_2,dT/dt_2
227,8.313452572543136e-26,200456091.8802242,-5.550835560231592e-25,-561355.6433871388,-4.251235906641896e-25,-561277.0572646278
228,4.985840587714783e-26,200399972.03164318,-3.327611984828353e-25,-561198.4858101606,-2.548761290102491e-25,-561119.9216886009
229,2.990669698995052e-26,200343867.8944201,-1.9951708887197313e-25,-561041.372230947,-1.5283267323643744e-25,-560962.8301043762
230,1.7942030417424937e-26,200287779.46415633,-1.196466657252558e-25,-560884.302637577,-9.165925556584925e-26,-560805.7824996377
231,1.0765836562927304e-26,200231706.73645458,-7.176193854497633e-26,-560727.2770175338,-5.498060197658522e-26,-560648.7788620729
232,6.460959395547393e-27,200175649.70691875,-4.30487716737991e-26,-560570.2953583002,-3.298493888601896e-26,-560491.8191793725
233,3.878102253048523e-27,200119608.37115395,-2.5828571424988702e-26,-560413.3576479554,-1.979223709535713e-26,-560334.9034392311
234,2.3281689585837165e-27,200063582.72476655,-1.5499332944648065e-26,-560256.4638739824,-1.1878102628560062e-26,-560178.0316293463
235,1.3979212517636098e-27,200007572.76336414,-9.302477068201066e-27,-560099.6140241623,-7.129715967799648e-27,-560021.2037374196
236,8.39506133926177e-28,199951578.48255554,-5.584151178374327e-27,-559942.808085978,-4.280261778196243e-27,-559864.4197511555
237,5.0424078870866135e-28,199895599.8779508,-3.352653452175157e-27,-559786.0460475087,-2.5700487384176713e-27,-559707.6796582622
238,3.0291793392716547e-28,199839636.94516116,-2.0132285478149586e-27,-559629.3278962374,-1.5434241576710427e-27,-559550.9834464513
239,1.8200565885527195e-28,199783689.6797992,-1.2091227507189351e-27,-559472.653619647,-9.270477690915266e-28,-559394.3311034377
