,Time,Concentration,Bioagent,Type
410,4.1,138782718.85020122,CFU,wt
411,4.11,139372230.95982876,CFU,wt
412,4.12,139963967.04703838,CFU,wt
413,4.13,140557933.1200271,CFU,wt
414,4.14,141154135.1827049,CFU,wt
415,4.15,141752579.23448026,CFU,wt
416,4.16,142353271.27004385,CFU,wt
417,4.17,142956217.27915087,CFU,wt
418,4.18,143561423.24640164,CFU,wt
419,4.19,144168895.15102026,CFU,wt
420,4.2,144778638.96663198,CFU,wt
421,4.21,145390660.66103902,CFU,wt
422,4.22,146004966.1959944,CFU,wt
423,4.23,146621561.52697432,CFU,wt
424,4.24,147240452.60294878,CFU,wt
425,4.25,147861645.36615086,CFU,wt
426,4.26,148485145.751844,CFU,wt
427,4.2700000000000005,149110959.68808785,CFU,wt
428,4.28,149739093.0955022,CFU,wt
429,4.29,150369551.8870298,CFU,wt
430,4.3,151002341.9676969,CFU,wt
431,4.3100000000000005,151637469.2343727,CFU,wt
432,4.32,152274939.57552642,CFU,wt
433,4.33,152914758.8709838,CFU,wt
434,4.34,153556932.99168092,CFU,wt
435,4.3500000000000005,154201467.79941693,CFU,wt
436,4.36,154848369.1466048,CFU,wt
437,4.37,155497642.87602097,CFU,wt
438,4.38,156149294.82055262,CFU,wt
439,4.39,156803330.8029439,CFU,wt
440,4.4,157459756.63554016,CFU,wt
441,4.41,158118578.12003058,CFU,wt
442,4.42,158779801.04718944,CFU,wt
443,4.43,159443431.19661528,CFU,wt
444,4.44,160109474.33646896,CFU,wt
445,4.45,160777936.2232093,CFU,wt
446,4.46,161448822.60132807,CFU,wt
447,4.47,162122139.20308262,CFU,wt
448,4.48,162797891.74822712,CFU,wt
449,4.49,163476085.94374186,CFU,wt
450,4.5,164156727.48356172,CFU,wt
451,4.51,164839822.04830214,CFU,wt
452,4.5200000000000005,165525375.30498388,CFU,wt
453,4.53,166213392.90675598,CFU,wt
454,4.54,166903880.49261746,CFU,wt
455,4.55,167596843.68713698,CFU,wt
456,4.5600000000000005,168292288.1001712,CFU,wt
457,4.57,168990219.326581,CFU,wt
458,4.58,169690642.94594708,CFU,wt
459,4.59,170393564.52228293,CFU,wt
460,4.6000000000000005,171098989.6037469,CFU,wt
461,4.61,171806923.72235203,CFU,wt
462,4.62,172517372.39367518,CFU,wt
463,4.63,173230341.11656377,CFU,wt
464,4.64,173945835.3728414,CFU,wt
465,4.65,174663860.62701157,CFU,wt
466,4.66,175384422.32596004,CFU,wt
467,4.67,176107525.89865577,CFU,wt
468,4.68,176833176.75585008,CFU,wt
469,4.69,177561380.28977415,CFU,wt
470,4.7,178292141.8738352,CFU,wt
471,4.71,179025466.86231124,CFU,wt
472,4.72,179761360.59004393,CFU,wt
473,4.73,180499828.37213022,CFU,wt
